profile,category,sample,source_width,source_height,width,height,quality,tile,base_target,layer,prefix_bytes,full_bytes,fraction_of_full,decode_ms,psnr,ssim_windowed,ms_ssim_windowed,ms_ssim_luma,legacy_ms_ssim_proxy
chat_preview,photo,kodak_01,768,512,512,341,1,64,32,0,1455,4698,0.30970625798212004,3.1305,19.42487100699782,0.24662811275490193,0.6104270756420361,0.6178544932570897,0.7695750718003527
chat_preview,photo,kodak_01,768,512,512,341,1,64,32,1,2246,4698,0.4780757769263516,3.27404,20.223405199989145,0.35358427565783285,0.7295853195838102,0.7420872711941581,0.8357651155499723
chat_preview,photo,kodak_01,768,512,512,341,1,64,32,2,3356,4698,0.7143465304384845,3.11025,21.266624802176096,0.5094516116520563,0.8308911501725337,0.8481403033249801,0.8949751932572336
chat_preview,photo,kodak_01,768,512,512,341,1,64,32,3,4439,4698,0.9448701575138356,3.41812,22.227867664062302,0.5997077083921115,0.8728990357797581,0.8920523462137006,0.9227262161678882
chat_preview,photo,kodak_01,768,512,512,341,1,64,32,4,4698,4698,1.0,3.52042,22.281385759251904,0.6005821699503073,0.8731593521760651,0.8922954252515983,0.9236736342324849
chat_preview,photo,kodak_01,768,512,512,341,1,64,64,0,2561,10829,0.23649459783913565,3.04287,20.315351861456662,0.35883451515425496,0.737107902487788,0.7504653217870019,0.839669740886149
chat_preview,photo,kodak_01,768,512,512,341,1,64,64,1,4937,10829,0.4559054390987164,3.26221,21.700662981400804,0.5505183187183387,0.8614565955443183,0.8734396199420237,0.9079245774457348
chat_preview,photo,kodak_01,768,512,512,341,1,64,64,2,8860,10829,0.8181734232154401,3.30687,23.82891754712855,0.7294541188296692,0.9338502937815755,0.9459450623062992,0.9545322389433217
chat_preview,photo,kodak_01,768,512,512,341,1,64,64,3,10829,10829,1.0,3.9255,24.915849776087676,0.7787855241567895,0.9446159094629442,0.9564221120482537,0.9645790560774039
chat_preview,photo,kodak_01,768,512,512,341,2,64,32,0,1455,4706,0.30917977050573736,2.97146,19.42487100699782,0.24662811275490193,0.6104270756420361,0.6178544932570897,0.7695750718003527
chat_preview,photo,kodak_01,768,512,512,341,2,64,32,1,2246,4706,0.4772630684232894,3.34733,20.223405199989145,0.35358427565783285,0.7295853195838102,0.7420872711941581,0.8357651155499723
chat_preview,photo,kodak_01,768,512,512,341,2,64,32,2,3356,4706,0.7131321716957076,3.16825,21.26659126073534,0.5094524427240206,0.8308911328446835,0.8481404422415132,0.8949734733264386
chat_preview,photo,kodak_01,768,512,512,341,2,64,32,3,4444,4706,0.944326391840204,3.28908,22.22746246134017,0.5997838694804445,0.872863250864392,0.8920190955181049,0.9227167744949942
chat_preview,photo,kodak_01,768,512,512,341,2,64,32,4,4706,4706,1.0,3.51492,22.288541222308073,0.6007179248463866,0.8731556460455289,0.8922882051262742,0.9238077843321884
chat_preview,photo,kodak_01,768,512,512,341,2,64,64,0,2561,10829,0.23649459783913565,3.11413,20.315351861456662,0.35883451515425496,0.737107902487788,0.7504653217870019,0.839669740886149
chat_preview,photo,kodak_01,768,512,512,341,2,64,64,1,4937,10829,0.4559054390987164,3.22004,21.700662981400804,0.5505183187183387,0.8614565955443183,0.8734396199420237,0.9079245774457348
chat_preview,photo,kodak_01,768,512,512,341,2,64,64,2,8860,10829,0.8181734232154401,3.37171,23.82891754712855,0.7294541188296692,0.9338502937815755,0.9459450623062992,0.9545322389433217
chat_preview,photo,kodak_01,768,512,512,341,2,64,64,3,10829,10829,1.0,3.73987,24.9159144798997,0.7787862910765485,0.9446158421553298,0.9564220604369453,0.9645791645694773
chat_preview,photo,kodak_01,768,512,512,341,3,64,32,0,1455,4796,0.30337781484570475,3.11054,19.42487100699782,0.24662811275490193,0.6104270756420361,0.6178544932570897,0.7695750718003527
chat_preview,photo,kodak_01,768,512,512,341,3,64,32,1,2260,4796,0.47122602168473726,3.09967,20.225293877217613,0.35383876444974033,0.7297953176890876,0.7426517720199796,0.8358021315071241
chat_preview,photo,kodak_01,768,512,512,341,3,64,32,2,3401,4796,0.7091326105087573,3.09746,21.27237443962762,0.5122074882819384,0.8316597812497206,0.8491490261260691,0.8949044340800444
chat_preview,photo,kodak_01,768,512,512,341,3,64,32,3,4531,4796,0.9447456213511259,3.27783,22.245983912601254,0.6043831508970429,0.8743036770039453,0.8935806840860526,0.923187099953076
chat_preview,photo,kodak_01,768,512,512,341,3,64,32,4,4796,4796,1.0,3.69067,22.311280437171597,0.6054174508129709,0.8746108531411965,0.8938654393824557,0.9243510076107565
chat_preview,photo,kodak_01,768,512,512,341,3,64,64,0,2561,11080,0.23113718411552348,3.06325,20.315351861456662,0.35883451515425496,0.737107902487788,0.7504653217870019,0.839669740886149
chat_preview,photo,kodak_01,768,512,512,341,3,64,64,1,4968,11080,0.4483754512635379,3.2745,21.702499401845667,0.5505759732311039,0.8613781479246004,0.8733774972830379,0.9079679907493263
chat_preview,photo,kodak_01,768,512,512,341,3,64,64,2,9007,11080,0.8129061371841155,3.43912,23.851981073122644,0.731763580209531,0.9346158994219165,0.9466501295372106,0.954874011752319
