profile,category,sample,width,height,threshold,codec,setting,bytes,bpp,encode_ms,decode_ms,codec_encode_ms,codec_decode_ms,psnr,ssim_windowed,ms_ssim_windowed,ms_ssim_luma,legacy_ms_ssim_proxy
chat_preview,ui_text,chat_ui,512,341,0.97,AVIF,crf=52,812,0.03720674486803519,34.44266700000753,21.154000000024098,nan,nan,31.630522675888418,0.934494879418328,0.9729806425733316,0.9762741918136805,0.9558584452548173
chat_preview,ui_text,chat_ui,512,341,0.985,AVIF,crf=46,1119,0.051273826979472144,33.9603329999818,20.033041000033336,nan,nan,33.25279572782093,0.9554562415312303,0.98571679832082,0.9877308358230091,0.9746210383584935
chat_preview,ui_text,chat_ui,512,341,0.995,AVIF,crf=33,3120,0.1429618768328446,41.362625000033404,19.83012499999859,nan,nan,37.32500915524765,0.9831441628934998,0.9954648574737869,0.9965827288041019,0.9915510051281435
chat_preview,ui_text,chat_ui,512,341,0.97,CAPS,"q=38,tile=64,base=32",2562,0.11739369501466276,6.923083000003771,7.767166999997244,3.33496,4.37379,31.241677533722303,0.9285810865056937,0.9707217706979568,0.9747787487337622,0.9512833788550296
chat_preview,ui_text,chat_ui,512,341,0.985,CAPS,"q=23,tile=64,base=64",3707,0.16985887096774194,7.733666000035555,8.282166000014968,3.77146,4.51696,32.40092124276779,0.9543085913297967,0.9851344471576319,0.989362009146181,0.9733130619163274
chat_preview,ui_text,chat_ui,512,341,0.995,CAPS,"q=71,tile=64,base=64",7261,0.33270711143695014,11.270082999999431,11.601125000026968,5.76471,4.99658,37.464251309193486,0.980367392818574,0.9952060668345647,0.9964933029488059,0.9913149293335599
chat_preview,ui_text,chat_ui,512,341,0.97,JPEG,"seq420,q=9",2474,0.11336143695014662,0.5647499999668071,0.3301250000049549,nan,nan,30.479522458598854,0.934352350827789,0.9745401135452556,0.9784184471171252,0.9430687834710796
chat_preview,ui_text,chat_ui,512,341,0.985,JPEG,"seq420,q=13",2964,0.13581378299120234,0.6222920000027443,0.3189590000260978,nan,nan,31.62747318143268,0.9470786210797995,0.9851284282414724,0.9890173848434549,0.9663045650116301
chat_preview,ui_text,chat_ui,512,341,0.995,JPEG,"seq444,q=39",6834,0.31314149560117305,1.1552089999895543,0.5702090000454518,nan,nan,35.138556295314444,0.9687206035306771,0.9952102353294888,0.996518052079544,0.9877610799390043
chat_preview,ui_text,chat_ui,512,341,0.97,JPEG2000,"pix=yuv420p,qscale=543",1799,0.08243218475073313,26.226542000017616,20.258874999967702,nan,nan,31.08536197363248,0.9255675687489585,0.9707033350341548,0.9802243850697514,0.9485335550542062
chat_preview,ui_text,chat_ui,512,341,0.985,JPEG2000,"pix=yuv420p,qscale=121",2824,0.12939882697947214,26.382666000017707,20.57124999998905,nan,nan,32.72344577172959,0.946536235036109,0.9850095517789548,0.989660809263621,0.9715599979326426
chat_preview,ui_text,chat_ui,512,341,0.995,JPEG2000,"pix=yuv420p,qscale=19",6640,0.30425219941348974,26.571417000013753,20.22250000004533,nan,nan,36.530627283425304,0.9767927087421461,0.9950877566797679,0.9970672973602726,0.9901466546815358
chat_preview,ui_text,chat_ui,512,341,0.97,WebP,"m6,q=8",1496,0.06854838709677419,6.096833000015067,0.7460420000029444,nan,nan,32.38177470212938,0.9490414955898595,0.9714070250306005,0.9874367430625663,0.9631165474842347
chat_preview,ui_text,chat_ui,512,341,0.985,WebP,"m6,q=15",1696,0.07771260997067449,6.4215840000088065,0.750750000008793,nan,nan,33.284525695900584,0.9595669811468532,0.9850017445415383,0.9909998196039923,0.9739040424594686
chat_preview,ui_text,chat_ui,512,341,0.995,WebP,"m6,q=44",3614,0.1655975073313783,9.177791999945839,0.6267910000019583,nan,nan,36.78742267670476,0.97945386998205,0.9951962026858298,0.9971974939050885,0.9897820435567825
chat_preview,photo,kodak_01,512,341,0.97,AVIF,crf=40,10432,0.4780058651026393,73.97158300000228,20.891083000009303,nan,nan,27.857010989585635,0.8611777726025266,0.9702243189613228,0.9788580696981781,0.9829734161558508
chat_preview,photo,kodak_01,512,341,0.985,AVIF,crf=32,20355,0.9326887829912024,74.53408300000319,21.164416999994273,nan,nan,30.86906035784855,0.9296876838608807,0.9857124436439865,0.9915030565409464,0.9917096598350993
chat_preview,photo,kodak_01,512,341,0.995,AVIF,crf=17,43069,1.9734695747800586,66.06270800000402,22.559833000002527,nan,nan,35.70173244548086,0.9764527248005077,0.9950418081574744,0.9979684751581419,0.9973507483616151
chat_preview,photo,kodak_01,512,341,0.97,CAPS,"q=40,tile=64,base=64",15363,0.703949780058651,8.914292000000046,8.83304200000623,4.89992,5.18858,27.20788752810496,0.8607695210028186,0.9701596481777953,0.9771035379882271,0.9820507709827816
chat_preview,photo,kodak_01,512,341,0.985,CAPS,"q=68,tile=64,base=64",25459,1.1665597507331378,9.423583000000235,9.377541999995742,5.80396,5.74238,30.03362928655467,0.9212997799189567,0.985217758824128,0.9891458744113222,0.9911334132889701
chat_preview,photo,kodak_01,512,341,0.995,CAPS,"q=90,tile=64,base=64",49978,2.2900476539589443,12.81195900000398,11.428542000004427,8.5145,6.65237,35.069378311733566,0.9719022387255117,0.9951278968709923,0.9969726031180446,0.9971732871579116
chat_preview,photo,kodak_01,512,341,0.97,JPEG,"seq444,q=20",16197,0.7421645894428153,1.0609169999895585,0.45608300000310464,nan,nan,26.5480587812835,0.8349014031371224,0.9704798089622318,0.979338280701885,0.9804930286736212
chat_preview,photo,kodak_01,512,341,0.985,JPEG,"seq444,q=38",25476,1.1673387096774193,1.2028749999899446,0.6991669999933947,nan,nan,28.569827119979724,0.8935778751778202,0.9853338330789985,0.9897389947241094,0.9891657026682806
chat_preview,photo,kodak_01,512,341,0.995,JPEG,"prog444,q=77",49257,2.2570106304985336,3.592166999993651,3.5318749999930787,nan,nan,32.47355419563414,0.9539489559543887,0.9953333801536578,0.9967413511460869,0.996134795427907
chat_preview,photo,kodak_01,512,341,0.97,JPEG2000,"pix=yuv420p,qscale=71",16088,0.7371700879765396,41.305166999990206,22.635790999999017,nan,nan,27.023455909551274,0.8395697874734096,0.9700147284652213,0.9771602072157984,0.9818257373240131
chat_preview,photo,kodak_01,512,341,0.985,JPEG2000,"pix=yuv420p,qscale=23",27966,1.281433284457478,40.6309589999978,24.188124999994898,nan,nan,29.94093928753638,0.9132334788354197,0.9855739896287247,0.9903223925681033,0.9911908549641101
chat_preview,photo,kodak_01,512,341,0.995,JPEG2000,"pix=yuv420p,qscale=4",56896,2.6070381231671553,40.804791999988765,28.010125000008657,nan,nan,35.36495445973176,0.9738496780952491,0.9952621228272148,0.9979198409856891,0.9973844481913123
