profile,category,sample,width,height,preview_threshold,quality,tile,layer,prefix_bytes,full_bytes,fraction_of_full,decode_ms,psnr,ssim_windowed,ms_ssim_windowed,ms_ssim_luma,legacy_ms_ssim_proxy
chat_preview,ui_text,chat_ui,512,341,0.95,1,64,1,2727,4392,0.6209016393442623,3.01958,29.387523404104584,0.9056459203176157,0.9545390109125367,0.9558789633048667,0.9220087783022626
chat_preview,ui_text,chat_ui,512,341,0.97,1,64,2,3914,4392,0.8911657559198543,3.30012,31.12140037309802,0.9419738280662878,0.9787582114414782,0.9807725769619701,0.9557175674835373
chat_preview,photo,kodak_01,512,341,0.95,5,64,3,11887,11887,1.0,7.48225,25.209913425245297,0.7916093313633973,0.9507243096316994,0.9593499899418939,0.9694502461817656
chat_preview,photo,kodak_01,512,341,0.97,38,64,3,17771,17771,1.0,4.13338,27.207271857810568,0.8608486369336087,0.9705153621502434,0.9769721352827935,0.9821505589402917
chat_preview,photo,kodak_02,512,341,0.95,52,64,3,11667,11667,1.0,3.88221,31.54344554227173,0.8278331903616878,0.9502886570142381,0.9638744026193441,0.9807292398981073
chat_preview,photo,kodak_02,512,341,0.97,74,64,3,19705,19705,1.0,4.36321,33.311315224978514,0.8800093560124624,0.9701460092342759,0.9788218963818545,0.9879001608589822
chat_preview,ui_text,meme_card,512,341,0.95,35,64,0,2428,4238,0.5729117508258612,3.19208,25.470359241819217,0.8604188124262674,0.9509968206316216,0.9517452683747123,0.9854485479437166
chat_preview,ui_text,meme_card,512,341,0.97,1,64,1,2649,3518,0.7529846503695281,4.26392,29.70219022364605,0.9190767748709135,0.9705548553690226,0.9771386635789883,0.9959760375340697
