profile,category,sample,source_width,source_height,width,height,quality,tile,base_target,layer,prefix_bytes,full_bytes,fraction_of_full,decode_ms,psnr,ssim_windowed,ms_ssim_windowed,ms_ssim_luma,legacy_ms_ssim_proxy
chat_preview,photo,kodak_01,768,512,512,341,1,64,32,0,1081,3928,0.27520366598778007,7.28292,19.462701768369556,0.24681046314294908,0.613021181217358,0.6167073517769117,0.7745193368203876
chat_preview,photo,kodak_01,768,512,512,341,1,64,32,1,1933,3928,0.49210794297352345,7.52217,20.25925808291159,0.35403013976849396,0.7321160469085335,0.7414597476163665,0.8401178054094615
chat_preview,photo,kodak_01,768,512,512,341,1,64,32,2,2982,3928,0.7591649694501018,7.52996,21.314270413487293,0.5100370049998569,0.8330601275854734,0.8482635265039393,0.8984316268136396
chat_preview,photo,kodak_01,768,512,512,341,1,64,32,3,3869,3928,0.984979633401222,7.91158,22.28334568378009,0.600295036431196,0.8750612210276089,0.8924062964395203,0.9257168985536548
chat_preview,photo,kodak_01,768,512,512,341,1,64,32,4,3928,3928,1.0,7.91262,22.33726014614863,0.6011663204414253,0.875315597645379,0.8926446858103767,0.9266459453235754
chat_preview,photo,kodak_01,768,512,512,341,1,64,64,0,2340,9548,0.24507750314201926,6.93479,20.356757492028827,0.36024556311394046,0.7405243321635377,0.7491502938241956,0.8440086233680154
chat_preview,photo,kodak_01,768,512,512,341,1,64,64,1,4716,9548,0.4939254294093004,7.26892,21.747637408901177,0.5519921333298123,0.8641146332986068,0.8730292507017227,0.9113072575994693
chat_preview,photo,kodak_01,768,512,512,341,1,64,64,2,8102,9548,0.8485546711353164,8.03212,23.90838502397302,0.7306024305626401,0.9363010052080044,0.9461142747201099,0.9572808983659571
chat_preview,photo,kodak_01,768,512,512,341,1,64,64,3,9548,9548,1.0,8.72896,25.018596577502773,0.7798550913185894,0.9469978399785776,0.9566758759035358,0.9671419780776789
chat_preview,photo,kodak_01,768,512,512,341,2,64,32,0,1109,3967,0.27955633980337785,7.66921,19.457121383774492,0.24700696639057004,0.6130508489510218,0.6168924093535259,0.7744954038813986
chat_preview,photo,kodak_01,768,512,512,341,2,64,32,1,1961,3967,0.4943282077136375,7.47292,20.25773952256435,0.35410318979014016,0.7324615500988495,0.7419272822287855,0.8403711687017591
chat_preview,photo,kodak_01,768,512,512,341,2,64,32,2,3010,3967,0.7587597680867154,7.78371,21.30780162612959,0.5101229157238324,0.8331870644877446,0.8485826590285154,0.8985530865376703
chat_preview,photo,kodak_01,768,512,512,341,2,64,32,3,3904,3967,0.984118981598185,8.08654,22.277596571787093,0.6003767052609515,0.8750727712300135,0.8926008565319475,0.9259224538250914
chat_preview,photo,kodak_01,768,512,512,341,2,64,32,4,3967,3967,1.0,7.885,22.33900072406258,0.6013112782325946,0.8753604462624742,0.892866429074421,0.926978185232744
chat_preview,photo,kodak_01,768,512,512,341,2,64,64,0,2416,9624,0.2510390689941812,7.40296,20.351859802708347,0.3605482356764953,0.7410351049484668,0.7498368839084896,0.8442785792095526
chat_preview,photo,kodak_01,768,512,512,341,2,64,64,1,4792,9624,0.4979218620116376,7.79533,21.74227801415475,0.5523084458292095,0.8645442753614093,0.8737506393720417,0.9114542455602661
chat_preview,photo,kodak_01,768,512,512,341,2,64,64,2,8178,9624,0.8497506234413965,8.03304,23.90309708869646,0.7310753157371314,0.9366091849746224,0.9467414286347644,0.9573650120989595
chat_preview,photo,kodak_01,768,512,512,341,2,64,64,3,9624,9624,1.0,8.71946,25.012865280159176,0.7803399547942288,0.9472955892939104,0.9572988983432176,0.9672218376557241
chat_preview,photo,kodak_01,768,512,512,341,3,64,32,0,1109,4052,0.27369200394866733,7.28142,19.457121383774492,0.24700696639057004,0.6130508489510218,0.6168924093535259,0.7744954038813986
chat_preview,photo,kodak_01,768,512,512,341,3,64,32,1,1977,4052,0.4879072063178677,7.56808,20.258676068661174,0.3542078814918535,0.7323969181908655,0.7422394191088878,0.8403013556081886
