profile,category,sample,width,height,preview_threshold,quality,tile,base_target,layer,prefix_bytes,full_bytes,fraction_of_full,decode_ms,psnr,ssim_windowed,ms_ssim_windowed,ms_ssim_luma,legacy_ms_ssim_proxy
chat_preview,ui_text,chat_ui,512,341,0.95,6,64,32,3,1973,1973,1.0,3.23104,29.353559229131477,0.9049453509461585,0.9508869504258831,0.9558137733832023,0.9186822324609113
chat_preview,ui_text,chat_ui,512,341,0.97,40,64,32,3,2799,2897,0.9661719019675526,3.18192,30.79964741281148,0.9285398856710717,0.9702627273025493,0.9754898860092048,0.9530065535446879
chat_preview,photo,kodak_01,512,341,0.95,35,64,64,2,11411,15952,0.7153335005015045,3.64308,24.391486623367197,0.7609339261716475,0.9501226488399662,0.9572350877825546,0.9639436840885649
chat_preview,photo,kodak_01,512,341,0.97,41,64,64,3,17077,17077,1.0,4.39754,27.30305139323071,0.8627193914021971,0.9708494432630778,0.9775297961409656,0.9823840344929939
chat_preview,photo,kodak_02,512,341,0.95,66,64,64,2,11412,14156,0.8061599321842329,3.99512,30.603814871771583,0.8135025096831586,0.9508871718239821,0.9639964830366647,0.9751294386678142
chat_preview,photo,kodak_02,512,341,0.97,77,64,64,3,19246,19246,1.0,5.47496,33.407689884468176,0.8826833323794956,0.9700293857116286,0.9802968299474815,0.9881840623575848
chat_preview,ui_text,meme_card,512,341,0.95,1,64,32,2,1597,1720,0.9284883720930233,3.58121,28.719496114911642,0.9022003993926896,0.9583043416534881,0.9732528920736309,0.9942185869799269
chat_preview,ui_text,meme_card,512,341,0.97,23,64,32,2,1813,2080,0.8716346153846154,3.16404,29.27193350295692,0.9176518758872086,0.9704367758905343,0.9806114470644293,0.9952868756795121
