profile,threshold,codec,coverage,samples,full_coverage,mean_bytes,mean_bpp,diagnostic_partial_mean_bytes,diagnostic_partial_mean_bpp,mean_encode_ms,mean_decode_ms,diagnostic_partial_encode_ms,diagnostic_partial_decode_ms,mean_ms_ssim_windowed,mean_legacy_ms_ssim_proxy
chat_preview,0.97,AVIF,4,4,True,6466.0,0.2962793255131965,6466.0,0.2962793255131965,83.02528099999051,41.3710830000511,83.02528099999051,41.3710830000511,0.9710887947496621,0.9815511563107442
chat_preview,0.97,CAPS,4,4,True,9109.5,0.4174074413489736,9109.5,0.4174074413489736,13.136166500023805,11.990156000004859,13.136166500023805,11.990156000004859,0.9709090396288523,0.9793357693451348
chat_preview,0.97,JPEG,4,4,True,10140.0,0.46462609970674484,10140.0,0.46462609970674484,1.5104374999843628,1.0236869999964426,1.5104374999843628,1.0236869999964426,0.9713977631430626,0.9774510842442429
chat_preview,0.97,JPEG2000,4,4,True,10045.75,0.4603074596774193,10045.75,0.4603074596774193,52.34808299994853,36.9876355000045,52.34808299994853,36.9876355000045,0.9705880738340417,0.9788616573696536
chat_preview,0.97,WebP,4,4,True,7658.5,0.350921004398827,7658.5,0.350921004398827,19.78594775001241,1.268896000013342,19.78594775001241,1.268896000013342,0.971647360898682,0.9831191624757876
chat_preview,0.985,AVIF,4,4,True,12948.0,0.593291788856305,12948.0,0.593291788856305,103.04340600000472,35.78714574999253,103.04340600000472,35.78714574999253,0.9856335224641771,0.9899413625964184
chat_preview,0.985,CAPS,4,4,True,16138.75,0.7394955095307918,16138.75,0.7394955095307918,11.583666750007993,10.87222925001008,11.583666750007993,10.87222925001008,0.9850670149350614,0.9888671237298474
chat_preview,0.985,JPEG,4,4,True,16328.0,0.7481671554252199,16328.0,0.7481671554252199,1.4848125000277435,0.9028854999897362,1.4848125000277435,0.9028854999897362,0.985288329261679,0.9870122839553095
chat_preview,0.985,JPEG2000,4,4,True,19084.5,0.8744730571847507,19084.5,0.8744730571847507,77.83493725003865,40.06413550001042,77.83493725003865,40.06413550001042,0.9852712334199142,0.9888214868494662
chat_preview,0.985,WebP,4,4,True,13901.0,0.6369593108504399,13901.0,0.6369593108504399,19.70961450003017,1.6733335000296279,19.70961450003017,1.6733335000296279,0.9856919959033698,0.9896929659260717
chat_preview,0.995,AVIF,4,4,True,31809.5,1.4575467375366569,31809.5,1.4575467375366569,99.76862524999319,36.24360425003914,99.76862524999319,36.24360425003914,0.995274834586895,0.9964247238390674
chat_preview,0.995,CAPS,4,4,True,35349.5,1.619753482404692,35349.5,1.619753482404692,23.35694799996446,22.52247900004889,23.35694799996446,22.52247900004889,0.9951567959444769,0.9965551769515899
chat_preview,0.995,JPEG,4,4,True,32426.75,1.4858298203812317,32426.75,1.4858298203812317,3.598135499998989,1.6196772499483814,3.598135499998989,1.6196772499483814,0.9951976514820701,0.9953462206480759
chat_preview,0.995,JPEG2000,4,4,True,44377.0,2.0334035923753664,44377.0,2.0334035923753664,63.15725000001038,59.62998950000298,63.15725000001038,59.62998950000298,0.9954305188469845,0.9964205806301589
chat_preview,0.995,WebP,4,4,True,65497.5,3.0011684384164226,65497.5,3.0011684384164226,75.4184377499918,2.0204375000290042,75.4184377499918,2.0204375000290042,0.9963651045187123,0.9966730586604782
