profile,category,sample,source_width,source_height,width,height,codec,setting,bytes,bpp,encode_ms,decode_ms,codec_encode_ms,codec_decode_ms,psnr,ssim_windowed,ms_ssim_windowed,ms_ssim_luma,legacy_ms_ssim_proxy,notes
chat_preview,photo,kodak_01,768,512,512,341,CAPS,"q=1,tile=64,base=32",4318,0.19785557184750732,11.625125000000015,11.258334000000009,5.45475,5.58321,22.281385759251904,0.6005821699503073,0.8731593521760651,0.8922954252515983,0.9236736342324849,subprocess wall time including PPM I/O; codec_* fields are resident timing
chat_preview,photo,kodak_01,768,512,512,341,CAPS,"q=1,tile=64,base=64",10509,0.4815340909090909,13.534334000000037,14.787166000000074,5.98796,6.74429,24.915849776087676,0.7787855241567895,0.9446159094629442,0.9564221120482537,0.9645790560774039,subprocess wall time including PPM I/O; codec_* fields are resident timing
chat_preview,photo,kodak_01,768,512,512,341,CAPS,"q=2,tile=64,base=32",4326,0.19822214076246333,15.79754099999997,12.129333000000075,5.38804,5.83667,22.288541222308073,0.6007179248463866,0.8731556460455289,0.8922882051262742,0.9238077843321884,subprocess wall time including PPM I/O; codec_* fields are resident timing
chat_preview,photo,kodak_01,768,512,512,341,CAPS,"q=2,tile=64,base=64",10509,0.4815340909090909,12.586332999999783,12.469499999999911,5.62483,6.24562,24.9159144798997,0.7787862910765485,0.9446158421553298,0.9564220604369453,0.9645791645694773,subprocess wall time including PPM I/O; codec_* fields are resident timing
chat_preview,photo,kodak_01,768,512,512,341,CAPS,"q=3,tile=64,base=32",4416,0.20234604105571846,11.039041999999721,11.748792000000119,4.98321,5.69992,22.311280437171597,0.6054174508129709,0.8746108531411965,0.8938654393824557,0.9243510076107565,subprocess wall time including PPM I/O; codec_* fields are resident timing
chat_preview,photo,kodak_01,768,512,512,341,CAPS,"q=3,tile=64,base=64",10760,0.4930351906158358,12.154999999999916,12.340958000000235,5.78487,6.19454,24.97592594598611,0.7827486890640726,0.9455376409598624,0.9573292482066551,0.9651307344573122,subprocess wall time including PPM I/O; codec_* fields are resident timing
chat_preview,photo,kodak_01,768,512,512,341,CAPS,"q=4,tile=64,base=32",4487,0.20559934017595308,11.731499999999784,11.42266699999972,5.11571,5.54946,22.32706286285117,0.608253902846393,0.875256784024824,0.8945670005555667,0.9246771837952775,subprocess wall time including PPM I/O; codec_* fields are resident timing
chat_preview,photo,kodak_01,768,512,512,341,CAPS,"q=4,tile=64,base=64",10896,0.499266862170088,12.021999999999977,12.315499999999702,5.7295,6.22529,25.00857088646294,0.7850870462561764,0.9460201249823023,0.9578316119258,0.9654056009062789,subprocess wall time including PPM I/O; codec_* fields are resident timing
chat_preview,photo,kodak_01,768,512,512,341,CAPS,"q=5,tile=64,base=32",4509,0.2066074046920821,11.369041000000024,12.679084000000174,5.18604,5.62825,22.341442947045564,0.6090692104142357,0.8762051201562587,0.895509385359729,0.9250800250983121,subprocess wall time including PPM I/O; codec_* fields are resident timing
chat_preview,photo,kodak_01,768,512,512,341,CAPS,"q=5,tile=64,base=64",10992,0.5036656891495601,11.710290999999984,13.113333000000615,5.62208,6.15558,25.03071493123009,0.7865276478070039,0.9466506524276369,0.9584579613547834,0.9657784321567338,subprocess wall time including PPM I/O; codec_* fields are resident timing
