codec,image,size,quality,tile,encode_ms,decode_ms,bytes,bpp,psnr,ms_ssim_proxy,lpips,lpips_status,constraint_status
CAPS,kodak_03,1024,100,32,63.2178,32.4857,1498779,11.434776306152344,99.0,1.0,,unavailable,unverified_lpips
CAPS,kodak_03,1024,90,32,43.8346,25.4206,875591,6.680229187011719,41.39511928969846,0.9992391126880762,,unavailable,unverified_lpips
CAPS,kodak_03,1024,82,32,33.4908,22.4629,431002,3.2882843017578125,38.43926942070446,0.9983712157997487,,unavailable,unverified_lpips
CAPS,kodak_03,1024,82,64,32.6082,21.1339,361052,2.754608154296875,38.43926942070446,0.9983712157997487,,unavailable,unverified_lpips
CAPS,kodak_03,1024,70,32,30.3089,20.7943,316293,2.4131240844726562,36.418207567226666,0.9970397875599755,,unavailable,unverified_lpips
CAPS,kodak_03,1024,50,32,28.9511,18.7542,244661,1.8666152954101562,34.26262632917829,0.9948396519214702,,unavailable,unverified_lpips
CAPS,kodak_03,1024,35,32,28.391,19.4632,224009,1.7090530395507812,32.98888639356805,0.9930220816310135,,unavailable,unverified_lpips
CAPS,kodak_03,1024,20,32,27.5671,19.7272,207886,1.5860443115234375,31.108866653407606,0.9891465184617249,,unavailable,unverified_lpips
CAPS,kodak_04,512,100,32,21.9437,8.7015,525323,16.031585693359375,99.0,1.0,,unavailable,unverified_lpips
CAPS,kodak_04,512,90,32,14.3535,8.01883,348128,10.6240234375,42.14641929796551,0.9993114095211023,,unavailable,unverified_lpips
CAPS,kodak_04,512,82,32,11.6895,7.17858,206545,6.303253173828125,38.63560493169457,0.9983422693879058,,unavailable,unverified_lpips
CAPS,kodak_04,512,82,64,11.6411,6.76533,199884,6.0999755859375,38.63560493169457,0.9983422693879058,,unavailable,unverified_lpips
CAPS,kodak_04,512,70,32,10.6931,6.85454,159487,4.867156982421875,36.34103750035316,0.9968247951432483,,unavailable,unverified_lpips
CAPS,kodak_04,512,50,32,10.2786,6.245,117607,3.589080810546875,33.736939329743485,0.9937986980868749,,unavailable,unverified_lpips
