profile,threshold,codec,coverage,samples,full_coverage,mean_bytes,mean_bpp,diagnostic_partial_mean_bytes,diagnostic_partial_mean_bpp,mean_encode_ms,mean_decode_ms,diagnostic_partial_encode_ms,diagnostic_partial_decode_ms,mean_ms_ssim_windowed,mean_legacy_ms_ssim_proxy
chat_preview,0.97,AVIF,4,4,True,6466.0,0.2962793255131965,6466.0,0.2962793255131965,108.73411450000958,42.71885374998163,108.73411450000958,42.71885374998163,0.9710887947496621,0.9815511563107442
chat_preview,0.97,CAPS,4,4,True,8399.75,0.38488590542522,8399.75,0.38488590542522,18.868520999976823,15.834031249980285,18.868520999976823,15.834031249980285,0.9709090396288523,0.9793357693451348
chat_preview,0.97,JPEG,4,4,True,10140.0,0.46462609970674484,10140.0,0.46462609970674484,2.199125000068136,1.5596145000316142,2.199125000068136,1.5596145000316142,0.9713977631430626,0.9774510842442429
chat_preview,0.97,JPEG2000,4,4,True,10045.75,0.4603074596774193,10045.75,0.4603074596774193,65.42290624996383,44.22046900000964,65.42290624996383,44.22046900000964,0.9705880738340417,0.9788616573696536
chat_preview,0.97,WebP,4,4,True,7658.5,0.350921004398827,7658.5,0.350921004398827,23.34946824996109,1.9863854999897512,23.34946824996109,1.9863854999897512,0.971647360898682,0.9831191624757876
chat_preview,0.985,AVIF,4,4,True,12948.0,0.593291788856305,12948.0,0.593291788856305,112.42083325001317,43.36823975003057,112.42083325001317,43.36823975003057,0.9856335224641771,0.9899413625964184
chat_preview,0.985,CAPS,4,4,True,15263.75,0.6994020344574781,15263.75,0.6994020344574781,20.450572749961538,15.439187750018846,20.450572749961538,15.439187750018846,0.9850670149350614,0.9888671237298474
chat_preview,0.985,JPEG,4,4,True,16328.0,0.7481671554252199,16328.0,0.7481671554252199,1.7785412500046505,0.9522499999903289,1.7785412500046505,0.9522499999903289,0.985288329261679,0.9870122839553095
chat_preview,0.985,JPEG2000,4,4,True,19084.5,0.8744730571847507,19084.5,0.8744730571847507,79.27346875001717,53.92672950000588,79.27346875001717,53.92672950000588,0.9852712334199142,0.9888214868494662
chat_preview,0.985,WebP,4,4,True,13901.0,0.6369593108504399,13901.0,0.6369593108504399,34.29923949999392,2.150479250012438,34.29923949999392,2.150479250012438,0.9856919959033698,0.9896929659260717
chat_preview,0.995,AVIF,4,4,True,31809.5,1.4575467375366569,31809.5,1.4575467375366569,113.73952124995412,48.06651050002131,113.73952124995412,48.06651050002131,0.995274834586895,0.9964247238390674
chat_preview,0.995,CAPS,4,4,True,33966.5,1.5563828812316713,33966.5,1.5563828812316713,28.440343750006036,18.06722900003166,28.440343750006036,18.06722900003166,0.9951567959444769,0.9965551769515899
chat_preview,0.995,JPEG,4,4,True,32426.75,1.4858298203812317,32426.75,1.4858298203812317,4.513656500002128,2.3767812499784213,4.513656500002128,2.3767812499784213,0.9951976514820701,0.9953462206480759
chat_preview,0.995,JPEG2000,4,4,True,44377.0,2.0334035923753664,44377.0,2.0334035923753664,79.58847874996877,54.723604249986124,79.58847874996877,54.723604249986124,0.9954305188469845,0.9964205806301589
chat_preview,0.995,WebP,4,4,True,65497.5,3.0011684384164226,65497.5,3.0011684384164226,133.3529269999829,3.1660207500152637,133.3529269999829,3.1660207500152637,0.9963651045187123,0.9966730586604782
