profile,category,sample,source_width,source_height,width,height,quality,tile,layer,prefix_bytes,full_bytes,fraction_of_full,decode_ms,psnr,ssim_windowed,ms_ssim_windowed,ms_ssim_luma,legacy_ms_ssim_proxy
chat_preview,photo,kodak_01,768,512,512,341,1,64,0,2714,11378,0.23853049745122165,5.07829,20.343087749244194,0.36077174286295044,0.7405634961022352,0.7492145863266642,0.8441097407109411
chat_preview,photo,kodak_01,768,512,512,341,1,64,1,5221,11378,0.45886799085955354,4.76092,21.752682018252226,0.5533091457974857,0.8645070880459387,0.8731640751488161,0.9117079775412286
chat_preview,photo,kodak_01,768,512,512,341,1,64,2,9400,11378,0.8261557391457198,4.9165,23.953338632754978,0.7346030768795186,0.9372690995228264,0.946645914325362,0.9578868901598364
chat_preview,photo,kodak_01,768,512,512,341,1,64,3,11378,11378,1.0,5.22367,25.077460429124802,0.7836554263060166,0.9478588664763196,0.9571717061896217,0.9677089864693353
chat_preview,photo,kodak_01,768,512,512,341,2,64,0,2714,11395,0.23817463799912242,4.82308,20.343087749244194,0.36077174286295044,0.7405634961022352,0.7492145863266642,0.8441097407109411
chat_preview,photo,kodak_01,768,512,512,341,2,64,1,5236,11395,0.45949978060552876,5.23171,21.754629421840527,0.5534093939834609,0.864565497774834,0.8732147431835526,0.9117273955138195
chat_preview,photo,kodak_01,768,512,512,341,2,64,2,9417,11395,0.8264150943396227,6.28212,23.958968609411023,0.7347412358868373,0.937366523114464,0.9466771162268939,0.9579330419681926
chat_preview,photo,kodak_01,768,512,512,341,2,64,3,11395,11395,1.0,5.38629,25.08526966204696,0.7838483628980245,0.9479795719370934,0.9572062370598712,0.9677722619687642
chat_preview,photo,kodak_01,768,512,512,341,3,64,0,2714,11621,0.2335427243782807,4.83208,20.343087749244194,0.36077174286295044,0.7405634961022352,0.7492145863266642,0.8441097407109411
chat_preview,photo,kodak_01,768,512,512,341,3,64,1,5242,11621,0.4510799414852422,4.64562,21.755355797196746,0.5533983615015664,0.8644859579223662,0.8731243942130338,0.9116907031367314
chat_preview,photo,kodak_01,768,512,512,341,3,64,2,9539,11621,0.8208415798984597,5.14775,23.974794347201012,0.736846412719642,0.9379958890728726,0.9473671693885134,0.9581590482770085
chat_preview,photo,kodak_01,768,512,512,341,3,64,3,11621,11621,1.0,6.16675,25.13645882145537,0.7875555275383412,0.9487278908985642,0.9580513593823015,0.9681799757486511
