profile,threshold,codec,coverage,samples,full_coverage,mean_bytes,mean_bpp,diagnostic_partial_mean_bytes,diagnostic_partial_mean_bpp,mean_encode_ms,mean_decode_ms,diagnostic_partial_encode_ms,diagnostic_partial_decode_ms,mean_ms_ssim_windowed,mean_legacy_ms_ssim_proxy
chat_preview,0.97,AVIF,4,4,True,6466.0,0.2962793255131965,6466.0,0.2962793255131965,54.55149975000495,21.333135749991072,54.55149975000495,21.333135749991072,0.9710887947496621,0.9815511563107442
chat_preview,0.97,CAPS,4,4,True,10325.0,0.4731030058651026,10325.0,0.4731030058651026,8.396156500012353,8.591219249995063,8.396156500012353,8.591219249995063,0.9703771018234919,0.9799752853185255
chat_preview,0.97,JPEG,4,4,True,10140.0,0.46462609970674484,10140.0,0.46462609970674484,0.9146980000096505,0.5368544999804215,0.9146980000096505,0.5368544999804215,0.9713977631430626,0.9774510842442429
chat_preview,0.97,JPEG2000,4,4,True,10045.75,0.4603074596774193,10045.75,0.4603074596774193,35.47302049998535,24.19253124999443,35.47302049998535,24.19253124999443,0.9705880738340417,0.9788616573696536
chat_preview,0.97,WebP,4,4,True,7658.5,0.350921004398827,7658.5,0.350921004398827,11.49259349998033,1.0165415000145117,11.49259349998033,1.0165415000145117,0.971647360898682,0.9831191624757876
chat_preview,0.985,AVIF,4,4,True,12948.0,0.593291788856305,12948.0,0.593291788856305,56.435291750005945,21.197156500001313,56.435291750005945,21.197156500001313,0.9856335224641771,0.9899413625964184
chat_preview,0.985,CAPS,4,4,True,18316.0,0.8392595307917888,18316.0,0.8392595307917888,8.464042000007055,9.48606225001214,8.464042000007055,9.48606225001214,0.9854480575404594,0.9899733065314773
chat_preview,0.985,JPEG,4,4,True,16328.0,0.7481671554252199,16328.0,0.7481671554252199,1.032958250000604,0.5300417499931598,1.032958250000604,0.5300417499931598,0.985288329261679,0.9870122839553095
chat_preview,0.985,JPEG2000,4,4,True,19084.5,0.8744730571847507,19084.5,0.8744730571847507,45.40839575000177,25.565208499997993,45.40839575000177,25.565208499997993,0.9852712334199142,0.9888214868494662
chat_preview,0.985,WebP,4,4,True,13901.0,0.6369593108504399,13901.0,0.6369593108504399,14.761999999976183,1.1649687500110417,14.761999999976183,1.1649687500110417,0.9856919959033698,0.9896929659260717
chat_preview,0.995,AVIF,4,4,True,31809.5,1.4575467375366569,31809.5,1.4575467375366569,58.366260500037015,22.78841675003207,58.366260500037015,22.78841675003207,0.995274834586895,0.9964247238390674
chat_preview,0.995,CAPS,4,4,True,38173.75,1.7491637646627565,38173.75,1.7491637646627565,9.899041250012175,10.042906249999817,9.899041250012175,10.042906249999817,0.9951438473332103,0.9965566182074291
chat_preview,0.995,JPEG,4,4,True,32426.75,1.4858298203812317,32426.75,1.4858298203812317,3.2746772499976373,1.3610207500001081,3.2746772499976373,1.3610207500001081,0.9951976514820701,0.9953462206480759
chat_preview,0.995,JPEG2000,4,4,True,44377.0,2.0334035923753664,44377.0,2.0334035923753664,46.183177250021856,30.39381250000872,46.183177250021856,30.39381250000872,0.9954305188469845,0.9964205806301589
chat_preview,0.995,WebP,4,4,True,65497.5,3.0011684384164226,65497.5,3.0011684384164226,68.35543724999837,1.5841042500071012,68.35543724999837,1.5841042500071012,0.9963651045187123,0.9966730586604782
