profile,category,sample,width,height,threshold,codec,setting,bytes,bpp,encode_ms,decode_ms,codec_encode_ms,codec_decode_ms,psnr,ssim_windowed,ms_ssim_windowed,ms_ssim_luma,legacy_ms_ssim_proxy
chat_preview,ui_text,chat_ui,512,341,0.97,AVIF,crf=52,812,0.03720674486803519,63.339790999975776,34.97970799992345,nan,nan,31.630522675888418,0.934494879418328,0.9729806425733316,0.9762741918136805,0.9558584452548173
chat_preview,ui_text,chat_ui,512,341,0.985,AVIF,crf=46,1119,0.051273826979472144,70.91929099999561,34.654416999956084,nan,nan,33.25279572782093,0.9554562415312303,0.98571679832082,0.9877308358230091,0.9746210383584935
chat_preview,ui_text,chat_ui,512,341,0.995,AVIF,crf=33,3120,0.1429618768328446,87.36145800003214,38.02420899990011,nan,nan,37.32500915524765,0.9831441628934998,0.9954648574737869,0.9965827288041019,0.9915510051281435
chat_preview,ui_text,chat_ui,512,341,0.97,CAPS,"q=40,tile=64,base=32",2897,0.13274376832844575,15.075166999963585,13.90187499998774,5.58975,5.3905,30.80702693202848,0.9289628507716773,0.9703240505359544,0.9755502296604333,0.9531213081641908
chat_preview,ui_text,chat_ui,512,341,0.985,CAPS,"q=71,tile=64,base=32",4942,0.22644794721407624,16.955999999936466,17.44137499997578,6.13733,6.79179,33.605109370122996,0.9547053327050495,0.986258034745959,0.9883462337193104,0.9770297364005055
chat_preview,ui_text,chat_ui,512,341,0.995,CAPS,"q=71,tile=64,base=64",8399,0.3848515395894428,13.52762499993787,15.000417000010202,5.9675,6.71171,37.52095725623576,0.9802142478408807,0.9951739259609852,0.9964732067019375,0.9911316803199838
chat_preview,ui_text,chat_ui,512,341,0.97,JPEG,"seq420,q=9",2474,0.11336143695014662,1.5214170000490412,1.2069169999904261,nan,nan,30.479522458598854,0.934352350827789,0.9745401135452556,0.9784184471171252,0.9430687834710796
chat_preview,ui_text,chat_ui,512,341,0.985,JPEG,"seq420,q=13",2964,0.13581378299120234,1.1420839999800592,0.7553340000185926,nan,nan,31.62747318143268,0.9470786210797995,0.9851284282414724,0.9890173848434549,0.9663045650116301
chat_preview,ui_text,chat_ui,512,341,0.995,JPEG,"seq444,q=39",6834,0.31314149560117305,1.787457999967046,1.3767909999842232,nan,nan,35.138556295314444,0.9687206035306771,0.9952102353294888,0.996518052079544,0.9877610799390043
chat_preview,ui_text,chat_ui,512,341,0.97,JPEG2000,"pix=yuv420p,qscale=545",1799,0.08243218475073313,50.97983300004216,37.61037499998565,nan,nan,31.08536197363248,0.9255675687489585,0.9707033350341548,0.9802243850697514,0.9485335550542062
chat_preview,ui_text,chat_ui,512,341,0.985,JPEG2000,"pix=yuv420p,qscale=121",2824,0.12939882697947214,51.58862499990846,41.29612500003077,nan,nan,32.72344577172959,0.946536235036109,0.9850095517789548,0.989660809263621,0.9715599979326426
chat_preview,ui_text,chat_ui,512,341,0.995,JPEG2000,"pix=yuv420p,qscale=19",6640,0.30425219941348974,55.30062499997257,45.107709000035356,nan,nan,36.530627283425304,0.9767927087421461,0.9950877566797679,0.9970672973602726,0.9901466546815358
chat_preview,ui_text,chat_ui,512,341,0.97,WebP,"m6,q=8",1496,0.06854838709677419,11.825874999999542,1.3198339999007658,nan,nan,32.38177470212938,0.9490414955898595,0.9714070250306005,0.9874367430625663,0.9631165474842347
chat_preview,ui_text,chat_ui,512,341,0.985,WebP,"m6,q=15",1696,0.07771260997067449,12.21037499999511,1.256291999993664,nan,nan,33.284525695900584,0.9595669811468532,0.9850017445415383,0.9909998196039923,0.9739040424594686
chat_preview,ui_text,chat_ui,512,341,0.995,WebP,"m6,q=44",3614,0.1655975073313783,12.921208999955525,1.3198750000356085,nan,nan,36.78742267670476,0.97945386998205,0.9951962026858298,0.9971974939050885,0.9897820435567825
chat_preview,photo,kodak_01,512,341,0.97,AVIF,crf=40,10432,0.4780058651026393,142.9824589999953,40.564334000009694,nan,nan,27.857010989585635,0.8611777726025266,0.9702243189613228,0.9788580696981781,0.9829734161558508
chat_preview,photo,kodak_01,512,341,0.985,AVIF,crf=32,20355,0.9326887829912024,150.47408300000598,42.39404200001218,nan,nan,30.86906035784855,0.9296876838608807,0.9857124436439865,0.9915030565409464,0.9917096598350993
chat_preview,photo,kodak_01,512,341,0.995,AVIF,crf=17,43069,1.9734695747800586,134.13608299998714,48.130209000021296,nan,nan,35.70173244548086,0.9764527248005077,0.9950418081574744,0.9979684751581419,0.9973507483616151
chat_preview,photo,kodak_01,512,341,0.97,CAPS,"q=41,tile=64,base=64",17077,0.7824871700879765,12.830875000005904,13.158499999988749,6.29808,6.71371,27.30305139323071,0.8627193914021971,0.9708494432630778,0.9775297961409656,0.9823840344929939
chat_preview,photo,kodak_01,512,341,0.985,CAPS,"q=69,tile=64,base=64",28809,1.3200604838709677,15.698415999992221,15.421750000001566,7.31442,7.95279,30.177745552397926,0.9244272686189611,0.9854526457583153,0.989615071316013,0.9912333229798037
chat_preview,photo,kodak_01,512,341,0.995,CAPS,"q=90,tile=64,base=64",52869,2.422516495601173,23.75116700000035,18.822708000016064,9.15958,9.41717,35.07711554767806,0.9717641201149051,0.9950537345214778,0.9969683311135429,0.9971460410744768
