profile,threshold,codec,coverage,samples,full_coverage,mean_bytes,mean_bpp,diagnostic_partial_mean_bytes,diagnostic_partial_mean_bpp,mean_encode_ms,mean_decode_ms,diagnostic_partial_encode_ms,diagnostic_partial_decode_ms,mean_ms_ssim_windowed,mean_legacy_ms_ssim_proxy
chat_preview,0.97,AVIF,4,4,True,6466.0,0.2962793255131965,6466.0,0.2962793255131965,155.68755200010287,52.80705199994884,155.68755200010287,52.80705199994884,0.9710887947496621,0.9815511563107442
chat_preview,0.97,CAPS,4,4,True,9116.25,0.4177167338709677,9116.25,0.4177167338709677,19.064864249980218,18.11810400005953,19.064864249980218,18.11810400005953,0.9709090396288523,0.9793357693451348
chat_preview,0.97,JPEG,4,4,True,10140.0,0.46462609970674484,10140.0,0.46462609970674484,2.2683437499679826,1.0743437500053687,2.2683437499679826,1.0743437500053687,0.9713977631430626,0.9774510842442429
chat_preview,0.97,JPEG2000,4,4,True,10045.75,0.4603074596774193,10045.75,0.4603074596774193,67.39058350004257,41.7665622500607,67.39058350004257,41.7665622500607,0.9705880738340417,0.9788616573696536
chat_preview,0.97,WebP,4,4,True,7658.5,0.350921004398827,7658.5,0.350921004398827,31.63472900001807,2.2854170000101703,31.63472900001807,2.2854170000101703,0.971647360898682,0.9831191624757876
chat_preview,0.985,AVIF,4,4,True,12948.0,0.593291788856305,12948.0,0.593291788856305,135.86257324995188,57.86623949992986,135.86257324995188,57.86623949992986,0.9856335224641771,0.9899413625964184
chat_preview,0.985,CAPS,4,4,True,16143.25,0.7397017045454545,16143.25,0.7397017045454545,39.746978999971816,40.28896875005117,39.746978999971816,40.28896875005117,0.9850670149350614,0.9888671237298474
chat_preview,0.985,JPEG,4,4,True,16328.0,0.7481671554252199,16328.0,0.7481671554252199,2.324146249939929,1.7654895000234205,2.324146249939929,1.7654895000234205,0.985288329261679,0.9870122839553095
chat_preview,0.985,JPEG2000,4,4,True,19084.5,0.8744730571847507,19084.5,0.8744730571847507,100.13026075003495,62.939801999988276,100.13026075003495,62.939801999988276,0.9852712334199142,0.9888214868494662
chat_preview,0.985,WebP,4,4,True,13901.0,0.6369593108504399,13901.0,0.6369593108504399,82.3870312500361,27.691739499900336,82.3870312500361,27.691739499900336,0.9856919959033698,0.9896929659260717
chat_preview,0.995,AVIF,4,4,True,31809.5,1.4575467375366569,31809.5,1.4575467375366569,138.82718725004395,51.381812249999825,138.82718725004395,51.381812249999825,0.995274834586895,0.9964247238390674
chat_preview,0.995,CAPS,4,4,True,35352.5,1.6198909457478003,35352.5,1.6198909457478003,31.11395824996066,24.28197925003417,31.11395824996066,24.28197925003417,0.9951567959444769,0.9965551769515899
chat_preview,0.995,JPEG,4,4,True,32426.75,1.4858298203812317,32426.75,1.4858298203812317,11.567552000023795,4.407854250011667,11.567552000023795,4.407854250011667,0.9951976514820701,0.9953462206480759
chat_preview,0.995,JPEG2000,4,4,True,44377.0,2.0334035923753664,44377.0,2.0334035923753664,120.51062500003695,70.35630200002174,120.51062500003695,70.35630200002174,0.9954305188469845,0.9964205806301589
chat_preview,0.995,WebP,4,4,True,65497.5,3.0011684384164226,65497.5,3.0011684384164226,286.65331274990535,3.5298229999938258,286.65331274990535,3.5298229999938258,0.9963651045187123,0.9966730586604782
